School Name ,Url,Master Program,,,,,,,,,,,,,,,,,,,
Carnegie Mellon University,https://www.cs.cmu.edu/masters-programs,Master of Science in Computer Science,Master of Science in Computational Biology,Master of Science in Biotechnology Innovation and Computation,Masters of Human-Computer Interaction,Mastersin Educational Technology andApplied Learning Science (METALS),Master of Information Technology Strategy,eBusiness Technology,Master of Information Technology Strategy,Embedded Software Engineering,Privacy Engineering,Software Engineering Management,Master of Computational Data Science,Master of Science in Biotechnology Innovation and Computation,Master of Science in Intelligent Information Systems,Master of Science in Language Technologies,Master of Science in Machine Learning,Master of Science - Computer Vision,Master of Science in Robotics,Masters in Robotic Systems Development,Master of Science - Robotics Technology
Massachusetts Institute of Technology,https://www.eecs.mit.edu/academics-admissions/graduate-program/degree-programs,,,,,,,,,,,,,,,,,,,,
Stanford University,http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1240861,Master of Science in Computer Science,,,,,,,,,,,,,,,,,,,
University of California-Berkeley,http://www.eecs.berkeley.edu/MEng/index.shtml,Master of Engineering,,,,,,,,,,,,,,,,,,,
University of Illinois-Urbana Champaign,https://cs.illinois.edu/current-students/graduate-students/professional-masters-mcs,Master of Computer Science,,,,,,,,,,,,,,,,,,,
Cornell University,http://gradschool.cornell.edu/academics/fields-of-study/field/computer-science,Computer Science (M.Eng.)(Ithaca),Computer Science (M.Eng.)(Cornell NYC Tech),Computer Science (M.S.)(Ithaca),Information Systems (M.S.)(Cornell NYC Tech),,,,,,,,,,,,,,,,
University of Washington,https://www.cs.washington.edu/prospective_students/grad_programs_overview,,,,,,,,,,,,,,,,,,,,
Princeton University,https://gradschool.princeton.edu/academics/fields-study/computer-science,Master of Science in Engineering,,,,,,,,,,,,,,,,,,,
Georgia Institute of Technology,http://www.cc.gatech.edu/academics/degree-programs/masters,Master of Science in Computer Science,Master of Science in Human-Computer Interaction,Master of Science in Bioengineering,Master of Science in Computational Science and Engineering,Master of Science in Information Security,Master of Science in Analytics,Master of Science in Bioinformatics,,,,,,,,,,,,,
University of Texas-Austin,https://www.cs.utexas.edu/graduate-program/masters-program,Master of Science in Computer Science,,,,,,,,,,,,,,,,,,,
California Institute of Technology,http://www.cms.caltech.edu/academics/grad_cs,,,,,,,,,,,,,,,,,,,,
University of Wisconsin-Madison,https://www.cs.wisc.edu/academics/graduate-programs,Master of Science in Computer Science,,,,,,,,,,,,,,,,,,,
University of California-Los Angeles,https://grad.ucla.edu/programs/school-of-engineering-and-applied-science/computer-science/,Master of Science in Computer Science,,,,,,,,,,,,,,,,,,,
University of Michigan-Ann Arbor,https://www.eecs.umich.edu/eecs/graduate/,Master of Science in Computer Science and Engineering,,,,,,,,,,,,,,,,,,,
Columbia University,http://www.cs.columbia.edu/education/admissions,Master of Science in Computer Science,Master of Science in Computer Engineering,,,,,,,,,,,,,,,,,,
University of California-San Diego,http://www.cse.ucsd.edu/node/27,Master of Science in Computer Science and Engineering,Master of Advanced Studies,,,,,,,,,,,,,,,,,,
University of Maryland-College Park,https://www.cs.umd.edu/grad,Master of Science in Computer Science,,,,,,,,,,,,,,,,,,,
Havard University,http://www.seas.harvard.edu/programs/graduate/computational-science-and-engineering,Master of Science in Computer Science and Engineering,Master of Engineering in Computer Science and Engineering,,,,,,,,,,,,,,,,,,
University of Pennsylvania,http://www.cis.upenn.edu/prospective-students/graduate/,Master of Science in Engineering (MSE) in Computer and Information Science (CIS),Master of Science in Engineering (MSE) in Embedded Systems (EMBS),Master of Science in Engineering (MSE) in Computer Graphics and Game Technology (CGGT),Master of Science in Engineering (MSE) in Robotics (ROBO),Master of Computer and Information Technology (MCIT),,,,,,,,,,,,,,,
Brown University,https://cs.brown.edu/degrees/masters/,ScM,,,,,,,,,,,,,,,,,,,
Purdue University-West Lafayette,https://www.cs.purdue.edu/graduate/,Master of Science in Computer Science,,,,,,,,,,,,,,,,,,,
Rice University,https://www.cs.rice.edu/academics/graduate-studies/,Master of Science in Computer Science,,,,,,,,,,,,,,,,,,,
